Date,Customers
7/31/2015,555
7/30/2015,546
7/29/2015,523
7/28/2015,560
7/27/2015,612
7/25/2015,500
7/24/2015,459
7/23/2015,503
7/22/2015,463
7/21/2015,469
7/20/2015,526
7/18/2015,512
7/17/2015,519
7/16/2015,517
7/15/2015,550
7/14/2015,544
7/13/2015,553
7/11/2015,441
7/10/2015,449
7/9/2015,480
7/8/2015,485
7/7/2015,485
7/6/2015,540
7/4/2015,560
7/3/2015,538
7/2/2015,573
7/1/2015,562
6/30/2015,568
6/29/2015,541
6/27/2015,463
6/26/2015,420
6/25/2015,433
6/24/2015,414
6/23/2015,447
6/22/2015,489
6/20/2015,494
6/19/2015,487
6/18/2015,498
6/17/2015,476
6/16/2015,503
6/15/2015,586
6/13/2015,502
6/12/2015,422
6/11/2015,442
6/10/2015,453
6/9/2015,485
6/8/2015,502
6/6/2015,460
6/5/2015,609
6/3/2015,616
6/2/2015,590
6/1/2015,607
5/30/2015,580
5/29/2015,537
5/28/2015,474
5/27/2015,497
5/26/2015,479
5/23/2015,506
5/22/2015,495
5/21/2015,471
5/20/2015,533
5/19/2015,546
5/18/2015,577
5/16/2015,505
5/15/2015,523
5/13/2015,523
5/12/2015,438
5/11/2015,453
5/9/2015,596
5/8/2015,536
5/7/2015,491
5/6/2015,536
5/5/2015,514
5/4/2015,589
5/2/2015,653
4/30/2015,650
4/29/2015,579
4/28/2015,552
4/27/2015,574
4/25/2015,537
4/24/2015,437
4/23/2015,426
4/22/2015,411
4/21/2015,416
4/20/2015,480
4/18/2015,544
4/17/2015,511
4/16/2015,480
4/15/2015,501
4/14/2015,535
4/13/2015,574
4/11/2015,525
4/10/2015,428
4/9/2015,430
4/8/2015,500
4/7/2015,555
4/4/2015,796
4/2/2015,722
4/1/2015,707
3/31/2015,589
3/30/2015,697
3/28/2015,605
3/27/2015,529
3/26/2015,490
3/25/2015,447
3/24/2015,464
3/23/2015,495
3/21/2015,506
3/20/2015,472
3/19/2015,535
3/18/2015,504
3/17/2015,555
3/16/2015,605
3/14/2015,599
3/13/2015,493
3/12/2015,405
3/11/2015,521
3/10/2015,491
3/9/2015,485
3/7/2015,570
3/6/2015,579
3/5/2015,534
3/4/2015,597
3/3/2015,576
3/2/2015,669
2/28/2015,640
2/27/2015,542
2/26/2015,489
2/25/2015,512
2/24/2015,500
2/23/2015,454
2/21/2015,547
2/20/2015,548
2/19/2015,507
2/18/2015,509
2/17/2015,512
2/16/2015,478
2/14/2015,624
2/13/2015,630
2/12/2015,477
2/11/2015,501
2/10/2015,419
2/9/2015,501
2/7/2015,599
2/6/2015,604
2/5/2015,551
2/4/2015,544
2/3/2015,596
2/2/2015,669
1/31/2015,638
1/30/2015,616
1/29/2015,573
1/28/2015,537
1/27/2015,532
1/26/2015,566
1/24/2015,600
1/23/2015,489
1/22/2015,493
1/21/2015,460
1/20/2015,462
1/19/2015,480
1/17/2015,622
1/16/2015,524
1/15/2015,517
1/14/2015,545
1/13/2015,564
1/12/2015,590
1/10/2015,566
1/9/2015,494
1/8/2015,457
1/7/2015,603
1/6/2015,595
1/5/2015,712
1/3/2015,645
1/2/2015,657
12/31/2014,327
12/30/2014,703
12/29/2014,700
12/27/2014,684
12/24/2014,421
12/23/2014,957
12/22/2014,1080
12/20/2014,962
12/19/2014,884
12/18/2014,841
12/17/2014,791
12/16/2014,823
12/15/2014,871
12/13/2014,850
12/12/2014,617
12/11/2014,587
12/10/2014,619
12/9/2014,559
12/8/2014,610
12/6/2014,746
12/5/2014,712
12/4/2014,681
12/3/2014,695
12/2/2014,717
12/1/2014,723
11/29/2014,749
11/28/2014,711
11/27/2014,668
11/26/2014,611
11/25/2014,610
11/24/2014,694
11/22/2014,678
11/21/2014,570
11/20/2014,635
11/19/2014,494
11/18/2014,529
11/17/2014,491
11/15/2014,614
11/14/2014,603
11/13/2014,471
11/12/2014,533
11/11/2014,555
11/10/2014,578
11/8/2014,546
11/7/2014,582
11/6/2014,527
11/5/2014,539
11/4/2014,586
11/3/2014,625
11/1/2014,731
10/31/2014,512
10/30/2014,492
10/29/2014,449
10/28/2014,439
10/27/2014,475
10/25/2014,539
10/24/2014,495
10/23/2014,476
10/22/2014,566
10/21/2014,547
10/20/2014,560
10/18/2014,497
10/17/2014,500
10/16/2014,436
10/15/2014,451
10/14/2014,476
10/13/2014,492
10/11/2014,557
10/10/2014,539
10/9/2014,527
10/8/2014,518
10/7/2014,556
10/6/2014,608
10/4/2014,621
10/2/2014,601
10/1/2014,554
9/30/2014,550
9/29/2014,566
9/27/2014,464
9/26/2014,442
9/25/2014,378
9/24/2014,465
9/23/2014,437
9/22/2014,466
9/20/2014,500
9/19/2014,485
9/18/2014,447
9/17/2014,490
9/16/2014,511
9/15/2014,545
9/13/2014,508
9/12/2014,501
9/11/2014,437
9/10/2014,448
9/9/2014,439
9/8/2014,530
9/6/2014,515
9/5/2014,553
9/4/2014,507
9/3/2014,539
9/2/2014,564
9/1/2014,561
8/30/2014,518
8/29/2014,439
8/28/2014,467
8/27/2014,421
8/26/2014,460
8/25/2014,449
8/23/2014,469
8/22/2014,461
8/21/2014,484
8/20/2014,467
8/19/2014,528
8/18/2014,598
8/16/2014,544
8/15/2014,479
8/14/2014,481
8/13/2014,496
8/12/2014,421
8/11/2014,505
8/9/2014,504
8/8/2014,503
8/7/2014,480
8/6/2014,575
8/5/2014,620
8/4/2014,592
8/2/2014,555
8/1/2014,572
7/31/2014,575
7/30/2014,587
7/29/2014,591
7/28/2014,584
7/26/2014,488
7/25/2014,461
7/24/2014,494
7/23/2014,476
7/22/2014,495
7/21/2014,528
7/19/2014,477
7/18/2014,506
7/17/2014,525
7/16/2014,566
7/15/2014,538
7/14/2014,532
7/12/2014,531
7/11/2014,463
7/10/2014,472
7/9/2014,485
7/8/2014,510
7/7/2014,505
7/5/2014,589
7/4/2014,450
7/3/2014,514
7/2/2014,560
7/1/2014,533
6/30/2014,641
6/28/2014,566
6/27/2014,501
6/26/2014,368
6/25/2014,440
6/24/2014,444
6/23/2014,456
6/21/2014,496
6/20/2014,709
6/18/2014,567
6/17/2014,594
6/16/2014,529
6/14/2014,562
6/13/2014,498
6/12/2014,489
6/11/2014,535
6/10/2014,560
6/7/2014,555
6/6/2014,575
6/5/2014,585
6/4/2014,570
6/3/2014,593
6/2/2014,609
5/31/2014,560
5/30/2014,628
5/28/2014,581
5/27/2014,511
5/26/2014,494
5/24/2014,516
5/23/2014,526
5/22/2014,481
5/21/2014,510
5/20/2014,549
5/19/2014,608
5/17/2014,512
5/16/2014,479
5/15/2014,491
5/14/2014,474
5/13/2014,449
5/12/2014,555
5/10/2014,710
5/9/2014,622
5/8/2014,614
5/7/2014,604
5/6/2014,585
5/5/2014,615
5/3/2014,633
5/2/2014,732
4/30/2014,624
4/29/2014,628
4/28/2014,607
4/26/2014,535
4/25/2014,468
4/24/2014,461
4/23/2014,434
4/22/2014,563
4/19/2014,642
4/17/2014,703
4/16/2014,662
4/15/2014,672
4/14/2014,693
4/12/2014,570
4/11/2014,507
4/10/2014,501
4/9/2014,528
4/8/2014,496
4/7/2014,497
4/5/2014,571
4/4/2014,552
4/3/2014,526
4/2/2014,539
4/1/2014,583
3/31/2014,640
3/29/2014,548
3/28/2014,471
3/27/2014,512
3/26/2014,443
3/25/2014,448
3/24/2014,511
3/22/2014,628
3/21/2014,542
3/20/2014,485
3/19/2014,496
3/18/2014,635
3/17/2014,628
3/15/2014,630
3/14/2014,502
3/13/2014,450
3/12/2014,499
3/11/2014,476
3/10/2014,469
3/8/2014,550
3/7/2014,588
3/6/2014,542
3/5/2014,592
3/4/2014,619
3/3/2014,616
3/1/2014,655
2/28/2014,603
2/27/2014,519
2/26/2014,491
2/25/2014,470
2/24/2014,481
2/22/2014,623
2/21/2014,550
2/20/2014,559
2/19/2014,547
2/18/2014,556
2/17/2014,606
2/15/2014,655
2/14/2014,591
2/13/2014,517
2/12/2014,508
2/11/2014,481
2/10/2014,502
2/8/2014,620
2/7/2014,636
2/6/2014,557
2/5/2014,581
2/4/2014,602
2/3/2014,638
2/1/2014,667
1/31/2014,589
1/30/2014,543
1/29/2014,491
1/28/2014,453
1/27/2014,517
1/25/2014,561
1/24/2014,587
1/23/2014,525
1/22/2014,549
1/21/2014,551
1/20/2014,653
1/18/2014,630
1/17/2014,479
1/16/2014,477
1/15/2014,486
1/14/2014,464
1/13/2014,545
1/11/2014,569
1/10/2014,559
1/9/2014,539
1/8/2014,589
1/7/2014,607
1/6/2014,649
1/4/2014,660
1/3/2014,552
1/2/2014,618
12/31/2013,298
12/30/2013,796
12/28/2013,716
12/27/2013,737
12/24/2013,385
12/23/2013,1130
12/21/2013,927
12/20/2013,895
12/19/2013,782
12/18/2013,828
12/17/2013,808
12/16/2013,825
12/14/2013,743
12/13/2013,594
12/12/2013,558
12/11/2013,543
12/10/2013,581
12/9/2013,576
12/7/2013,723
12/6/2013,673
12/5/2013,685
12/4/2013,627
12/3/2013,658
12/2/2013,754
11/30/2013,730
11/29/2013,665
11/28/2013,585
11/27/2013,530
11/26/2013,524
11/25/2013,575
11/23/2013,614
11/22/2013,581
11/21/2013,545
11/20/2013,586
11/19/2013,583
11/18/2013,681
11/16/2013,616
11/15/2013,504
11/14/2013,502
11/13/2013,464
11/12/2013,507
11/11/2013,519
11/9/2013,582
11/8/2013,583
11/7/2013,575
11/6/2013,611
11/5/2013,628
11/4/2013,620
11/2/2013,653
11/1/2013,707
10/31/2013,514
10/30/2013,496
10/29/2013,479
10/28/2013,494
10/26/2013,535
10/25/2013,576
10/24/2013,498
10/23/2013,505
10/22/2013,504
10/21/2013,571
10/19/2013,479
10/18/2013,490
10/17/2013,446
10/16/2013,452
10/15/2013,457
10/14/2013,478
10/12/2013,608
10/11/2013,670
10/10/2013,596
10/9/2013,596
10/8/2013,592
10/7/2013,626
10/5/2013,662
10/4/2013,619
10/2/2013,509
10/1/2013,508
9/30/2013,516
9/28/2013,538
9/27/2013,548
9/26/2013,537
9/25/2013,500
9/24/2013,492
9/23/2013,542
9/21/2013,522
9/20/2013,494
9/19/2013,469
9/18/2013,507
9/17/2013,502
9/16/2013,568
9/14/2013,619
9/13/2013,559
9/12/2013,586
9/11/2013,580
9/10/2013,599
9/9/2013,601
9/7/2013,555
9/6/2013,466
9/5/2013,465
9/4/2013,444
9/3/2013,507
9/2/2013,496
8/31/2013,598
8/30/2013,612
8/29/2013,534
8/28/2013,507
8/27/2013,556
8/26/2013,613
8/24/2013,601
8/23/2013,445
8/22/2013,498
8/21/2013,441
8/20/2013,475
8/19/2013,513
8/17/2013,503
8/16/2013,527
8/15/2013,538
8/14/2013,574
8/13/2013,573
8/12/2013,600
8/10/2013,457
8/9/2013,418
8/8/2013,466
8/7/2013,512
8/6/2013,477
8/5/2013,522
8/3/2013,553
8/2/2013,562
8/1/2013,555
7/31/2013,624
7/30/2013,630
7/29/2013,630
7/27/2013,456
7/26/2013,516
7/25/2013,451
7/24/2013,453
7/23/2013,497
7/22/2013,493
7/20/2013,544
7/19/2013,495
7/18/2013,533
7/17/2013,544
7/16/2013,582
7/15/2013,657
7/13/2013,490
7/12/2013,514
7/11/2013,486
7/10/2013,496
7/9/2013,503
7/8/2013,523
7/6/2013,498
7/5/2013,603
7/4/2013,634
7/3/2013,634
7/2/2013,614
7/1/2013,614
6/29/2013,671
6/28/2013,568
6/27/2013,464
6/26/2013,508
6/25/2013,528
6/24/2013,494
6/22/2013,512
6/21/2013,542
6/20/2013,539
6/19/2013,517
6/18/2013,554
6/17/2013,585
6/15/2013,567
6/14/2013,529
6/13/2013,461
6/12/2013,476
6/11/2013,500
6/10/2013,531
6/8/2013,511
6/7/2013,541
6/6/2013,555
6/5/2013,575
6/4/2013,558
6/3/2013,619
6/1/2013,662
5/31/2013,795
5/29/2013,641
5/28/2013,555
5/27/2013,606
5/25/2013,538
5/24/2013,534
5/23/2013,536
5/22/2013,507
5/21/2013,602
5/18/2013,535
5/17/2013,597
5/16/2013,544
5/15/2013,576
5/14/2013,574
5/13/2013,660
5/11/2013,640
5/10/2013,644
5/8/2013,631
5/7/2013,540
5/6/2013,562
5/4/2013,813
5/3/2013,658
5/2/2013,677
4/30/2013,665
4/29/2013,641
4/27/2013,650
4/26/2013,572
4/25/2013,532
4/24/2013,512
4/23/2013,560
4/22/2013,623
4/20/2013,546
4/19/2013,526
4/18/2013,432
4/17/2013,500
4/16/2013,453
4/15/2013,526
4/13/2013,608
4/12/2013,614
4/11/2013,541
4/10/2013,575
4/9/2013,594
4/8/2013,695
4/6/2013,657
4/5/2013,571
4/4/2013,566
4/3/2013,594
4/2/2013,629
3/30/2013,773
3/28/2013,902
3/27/2013,779
3/26/2013,747
3/25/2013,777
3/23/2013,682
3/22/2013,694
3/21/2013,662
3/20/2013,688
3/19/2013,719
3/18/2013,778
3/16/2013,680
3/15/2013,677
3/14/2013,660
3/13/2013,622
3/12/2013,491
3/11/2013,618
3/9/2013,734
3/8/2013,694
3/7/2013,702
3/6/2013,678
3/5/2013,715
3/4/2013,840
3/2/2013,678
3/1/2013,584
2/28/2013,581
2/27/2013,579
2/26/2013,525
2/25/2013,534
2/23/2013,650
2/22/2013,599
2/21/2013,629
2/20/2013,684
2/19/2013,608
2/18/2013,710
2/16/2013,682
2/15/2013,607
2/14/2013,573
2/13/2013,604
2/12/2013,572
2/11/2013,599
2/9/2013,656
2/8/2013,630
2/7/2013,675
2/6/2013,693
2/5/2013,678
2/4/2013,762
2/2/2013,701
2/1/2013,658
1/31/2013,571
1/30/2013,560
1/29/2013,522
1/28/2013,549
1/26/2013,640
1/25/2013,676
1/24/2013,645
1/23/2013,627
1/22/2013,667
1/21/2013,607
1/19/2013,688
1/18/2013,568
1/17/2013,503
1/16/2013,530
1/15/2013,512
1/14/2013,616
1/12/2013,646
1/11/2013,592
1/10/2013,615
1/9/2013,626
1/8/2013,654
1/7/2013,785
1/5/2013,635
1/4/2013,619
1/3/2013,578
1/2/2013,668
